OpenPrice,LowPrice,HighPrice,ClosePrice,StockHistoryDate,StockTickerId,Volume
98.25,97.25,100.12,98.05,10/11/2022 12:00:00 AM,GOOG,21617727
41.66,41.45,42.57,41.92,10/11/2022 12:00:00 AM,PFE,20981150
220.94,215.00,225.75,216.50,10/11/2022 12:00:00 AM,TSLA,77013202
139.13,138.16,140.36,138.34,10/12/2022 12:00:00 AM,AAPL,70433744
73.54,73.17,73.65,73.50,10/12/2022 12:00:00 AM,ATVI,4096913
1500.21,1483.65,1529.94,1522.54,10/12/2022 12:00:00 AM,CMG,356395
11.48,11.35,11.70,11.54,10/12/2022 12:00:00 AM,F,59628549
98.27,97.67,99.65,98.30,10/12/2022 12:00:00 AM,GOOG,17343431
42.09,41.92,43.14,42.03,10/12/2022 12:00:00 AM,PFE,18803628
215.33,211.51,219.30,217.24,10/12/2022 12:00:00 AM,TSLA,66860699
134.99,134.37,143.59,142.99,10/13/2022 12:00:00 AM,AAPL,113223975
72.92,72.41,73.89,73.12,10/13/2022 12:00:00 AM,ATVI,6169089
1486.00,1472.24,1570.50,1558.24,10/13/2022 12:00:00 AM,CMG,437271
11.24,11.20,11.89,11.77,10/13/2022 12:00:00 AM,F,70487428
95.93,95.27,100.53,99.71,10/13/2022 12:00:00 AM,GOOG,32812220
41.76,41.70,43.16,42.98,10/13/2022 12:00:00 AM,PFE,23135226
208.30,206.22,222.99,221.72,10/13/2022 12:00:00 AM,TSLA,91483045
144.31,138.19,144.52,138.38,10/14/2022 12:00:00 AM,AAPL,88597969
73.44,72.08,73.66,72.13,10/14/2022 12:00:00 AM,ATVI,5141454
1579.30,1505.94,1587.00,1508.41,10/14/2022 12:00:00 AM,CMG,369362
11.80,11.56,11.85,11.67,10/14/2022 12:00:00 AM,F,55154053
100.63,97.03,101.29,97.18,10/14/2022 12:00:00 AM,GOOG,22624832
42.89,42.36,43.38,42.86,10/14/2022 12:00:00 AM,PFE,16983573
224.01,204.16,226.26,204.99,10/14/2022 12:00:00 AM,TSLA,94124511
141.06,140.27,142.90,142.41,10/17/2022 12:00:00 AM,AAPL,85250939
72.80,71.71,72.93,71.76,10/17/2022 12:00:00 AM,ATVI,14494605
1540.00,1534.08,1563.65,1541.98,10/17/2022 12:00:00 AM,CMG,289527
11.98,11.66,11.99,11.83,10/17/2022 12:00:00 AM,F,59561711
99.52,99.51,101.77,100.78,10/17/2022 12:00:00 AM,GOOG,23311604
43.19,43.19,43.81,43.65,10/17/2022 12:00:00 AM,PFE,16678396
210.04,209.45,221.86,219.35,10/17/2022 12:00:00 AM,TSLA,79428810
145.49,140.61,146.70,143.75,10/18/2022 12:00:00 AM,AAPL,99136610
72.23,72.03,72.50,72.26,10/18/2022 12:00:00 AM,ATVI,5305723
1582.67,1524.76,1588.10,1543.99,10/18/2022 12:00:00 AM,CMG,302608
12.22,11.91,12.25,12.03,10/18/2022 12:00:00 AM,F,53603361
103.94,100.65,104.22,101.39,10/18/2022 12:00:00 AM,GOOG,21610541
44.05,43.62,44.36,44.09,10/18/2022 12:00:00 AM,PFE,18442763
229.50,217.25,229.82,220.19,10/18/2022 12:00:00 AM,TSLA,75891905
141.69,141.50,144.95,143.86,10/19/2022 12:00:00 AM,AAPL,61758340
72.01,71.79,72.47,72.21,10/19/2022 12:00:00 AM,ATVI,4602603
1539.11,1513.24,1554.23,1527.21,10/19/2022 12:00:00 AM,CMG,251484
11.91,11.86,12.14,12.13,10/19/2022 12:00:00 AM,F,54130042
100.70,99.64,101.66,100.29,10/19/2022 12:00:00 AM,GOOG,21573686
43.91,42.74,44.07,43.11,10/19/2022 12:00:00 AM,PFE,23054685
219.80,217.78,222.93,222.04,10/19/2022 12:00:00 AM,TSLA,66571479
143.02,142.65,145.89,143.39,10/20/2022 12:00:00 AM,AAPL,64521989
